"Cluster1","Cluster2",Distance,Size
"4","19",5.0512,2
"11","20",5.89625,2
"7","15",6.10726,2
"3","5",6.20885,2
"10","12",6.44903,2
"8","23",8.01882,2
"(11, 20)","(7, 15)",8.18307,2
"21","(3, 5)",8.98305,2
"(4, 19)","(10, 12)",9.17427,2
"24","((4, 19), (10, 12))",10.7366,2
"((11, 20), (7, 15))","(24, ((4, 19), (10, 12)))",11.9964,2
"9","(21, (3, 5))",12.1528,2
"6","16",12.379,2
"2","22",14.2641,2
"1","(9, (21, (3, 5)))",15.4666,2
"13","(((11, 20), (7, 15)), (24, ((4, 19), (10, 12))))",15.6688,2
"(6, 16)","(2, 22)",17.7756,2
"14","(13, (((11, 20), (7, 15)), (24, ((4, 19), (10, 12)))))",19.7365,2
"17","((6, 16), (2, 22))",26.9187,2
"(8, 23)","(14, (13, (((11, 20), (7, 15)), (24, ((4, 19), (10, 12))))))",28.0379,2
"(1, (9, (21, (3, 5))))","((8, 23), (14, (13, (((11, 20), (7, 15)), (24, ((4, 19), (10, 12)))))))",33.4496,2
"18","(17, ((6, 16), (2, 22)))",39.2285,2
"((1, (9, (21, (3, 5)))), ((8, 23), (14, (13, (((11, 20), (7, 15)), (24, ((4, 19), (10, 12))))))))","(18, (17, ((6, 16), (2, 22))))",51.1527,2
